,,,,,,,,,
"Get the cheapest shipping rates for free!
Start shipping at www.pirateship.com",,,,,,,,,
,,,,,,,,,
USPS Parcel Select Ground,,,,,,,,,
"2022 Commercial Pricing • Effective January 9th, 2022",,,,,,,,,
,,,,,,,,,
"If you can wait 2-8 days for your package to be delivered, you can save up to 79% compared to Priority Mail!",,,,,,,,,
Using this ground-only service is mandatory if you're shipping packages with flammable contents like hairspray or perfume.,,,,,,,,,
Packages exceeding 1 cubic foot are charged the dimensional weight (Length x Width x Height / 166) if greater than the actual weight.,,,,,,,,,
,,,,,,,,,
Commercial Pricing - The cheapest rates USPS offers for this service!,,,,,,,,,
"No Monthly Fees - No Markups - No Minimums - Pirate Ship is FREE because we get paid by the carriers, not by you!",,,,,,,,,
,,,,,,,,,
2022 Rates,National Averages,0-150 miles,150-300 miles,300-600 miles,600-1000 miles,1000-1400 miles,1400-1800 miles,1800+ miles,Territories
Weight Not Over (lbs),,L 1 & 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9
49,$69.92,$32.26,$40.79,$51.95,$72.37,$88.44,$101.48,$116.81,$116.81
50,$70.72,$32.39,$41.08,$52.40,$73.46,$89.70,$102.80,$118.07,$118.07
51,$71.61,$32.88,$41.37,$52.80,$74.72,$90.95,$104.30,$119.23,$119.23
52,$72.37,$33.37,$41.66,$53.25,$75.25,$91.84,$105.90,$120.59,$120.59
53,$73.22,$34.00,$41.94,$53.69,$75.87,$92.63,$107.67,$122.17,$122.17
54,$74.04,$34.50,$42.24,$54.12,$76.53,$93.30,$109.24,$123.95,$123.95
55,$74.85,$35.05,$42.51,$54.56,$77.02,$94.09,$111.01,$125.58,$125.58
56,$75.58,$35.54,$42.81,$55.00,$77.61,$94.72,$112.56,$126.89,$126.89
57,$76.18,$36.11,$43.09,$55.44,$78.07,$95.46,$113.30,$127.79,$127.79
58,$76.81,$36.67,$43.38,$55.87,$78.57,$96.03,$114.35,$128.89,$128.89
59,$77.39,$37.20,$43.67,$56.30,$79.05,$96.58,$115.08,$129.83,$129.83
60,$77.92,$37.67,$43.95,$56.73,$79.50,$97.07,$115.82,$130.67,$130.67
61,$78.69,$38.29,$44.23,$57.17,$79.89,$97.62,$117.18,$132.51,$132.51
62,$79.49,$38.77,$44.52,$57.60,$80.25,$98.08,$118.61,$134.72,$134.72
63,$80.29,$39.48,$44.81,$58.05,$80.68,$98.65,$119.19,$136.92,$136.92
64,$80.97,$39.83,$45.09,$58.49,$81.04,$99.10,$119.74,$139.07,$139.07
65,$81.66,$40.41,$45.38,$58.94,$81.29,$99.39,$120.35,$141.17,$141.17
66,$82.39,$40.95,$45.68,$59.36,$81.66,$99.90,$120.72,$143.43,$143.43
67,$83.13,$41.57,$45.96,$60.38,$81.95,$100.22,$121.21,$145.27,$145.27
68,$83.87,$42.06,$46.24,$61.14,$82.18,$101.50,$121.85,$146.84,$146.84
69,$84.64,$42.64,$46.54,$61.93,$82.43,$102.74,$122.43,$148.42,$148.42
70,$85.42,$43.09,$46.82,$62.92,$82.69,$104.00,$122.88,$150.10,$150.10
Oversized,$148.45,$84.00,$106.79,$129.62,$152.15,$174.93,$197.66,$220.50,$220.50
